belongs_to_collection;genres;id;imdb_id;original_title;overview;poster_path;release_date;runtime;tagline;title;video;vote_average
;[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}];2;tt0094675;Ariel;Taisto Kasurinen is a Finnish coal miner whose father has just committed suicide and who is framed for a crime he did not commit. In jail, he starts to dream about leaving the country and starting a new life. He escapes from prison but things don't go as planned...;/gZCJZOn4l0Zj5hAxsMbxoS6CL0u.jpg;21/10/1988;69.0;;Ariel;False;7.1
;[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}];3;tt0092149;Varjoja paratiisissa;An episode in the life of Nikander, a garbage man, involving the death of a co-worker, an affair and much more.;/7ad4iku8cYBuB08g9yAU7tHJik5.jpg;16/10/1986;76.0;;Shadows in Paradise;False;7.1
;[{'id': 80, 'name': 'Crime'}, {'id': 35, 'name': 'Comedy'}];5;tt0113101;Four Rooms;It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. It seems that this evening's room service is serving up one unbelievable happening after another.;/eQs5hh9rxrk1m4xHsIz1w11Ngqb.jpg;09/12/1995;98.0;Twelve outrageous guests. Four scandalous requests. And one lone bellhop, in his first day on the job, who's in for the wildest New year's Eve of his life.;Four Rooms;False;6.5
;[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}];6;tt0107286;Judgment Night;"While racing to a boxing match, Frank, Mike, John and Rey get more than they bargained for. A wrong turn lands them directly in the path of Fallon, a vicious, wise-cracking drug lord. After accidentally witnessing Fallon murder a disloyal henchman, the four become his unwilling prey in a savage game of cat &amp; mouse as they are mercilessly stalked through the urban jungle in this taut suspense drama";/lNXmgUrP6h1nD53gkFh4WDzT6RZ.jpg;15/10/1993;110.0;Don't move. Don't whisper. Don't even breathe.;Judgment Night;False;6.4
{'id': 10, 'name': 'Star Wars Collection', 'poster_path': '/ghd5zOQnDaDW1mxO7R5fXXpZMu.jpg', 'backdrop_path': '/d8duYyyC9J5T825Hg7grmaabfxQ.jpg'};[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}];11;tt0076759;Star Wars;Princess Leia is captured and held hostage by the evil Imperial forces in their effort to take over the galactic Empire. Venturesome Luke Skywalker and dashing captain Han Solo team together with the loveable robot duo R2-D2 and C-3PO to rescue the beautiful princess and restore peace and justice in the Empire.;/btTdmkgIvOi0FFip1sPuZI2oQG6.jpg;25/05/1977;121.0;A long time ago in a galaxy far, far away...;Star Wars;False;8.1
{'id': 137697, 'name': 'Finding Nemo Collection', 'poster_path': '/xwggrEugjcJDuabIWvK2CpmK91z.jpg', 'backdrop_path': '/2hC8HHRUvwRljYKIcQDMyMbLlxz.jpg'};[{'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}];12;tt0266543;Finding Nemo;Nemo, an adventurous young clownfish, is unexpectedly taken from his Great Barrier Reef home to a dentist's office aquarium. It's up to his worrisome father Marlin and a friendly but forgetful fish Dory to bring Nemo home -- meeting vegetarian sharks, surfer dude turtles, hypnotic jellyfish, hungry seagulls, and more along the way.;/syPWyeeqzTQIxjIUaIFI7d0TyEY.jpg;30/05/2003;100.0;There are 3.7 trillion fish in the ocean. They're looking for one.;Finding Nemo;False;7.6
;[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}];13;tt0109830;Forrest Gump;A man with a low IQ has accomplished great things in his life and been present during significant historic events - in each case, far exceeding what anyone imagined he could do. Yet, despite all the things he has attained, his one true love eludes him. 'Forrest Gump' is the story of a man who rose above his challenges, and who proved that determination, courage, and love are more important than ability.;/yE5d3BUhE8hCnkMUJOo1QDoOGNz.jpg;06/07/1994;142.0;The world will never be the same, once you've seen it through the eyes of Forrest Gump.;Forrest Gump;False;8.2
;[{'id': 18, 'name': 'Drama'}];14;tt0169547;American Beauty;Lester Burnham, a depressed suburban father in a mid-life crisis, decides to turn his hectic life around after developing an infatuation with his daughter's attractive friend.;/or1MP8BZIAjqWYxPdPX724ydKar.jpg;15/09/1999;122.0;Look closer.;American Beauty;False;7.9
;[{'id': 9648, 'name': 'Mystery'}, {'id': 18, 'name': 'Drama'}];15;tt0033467;Citizen Kane;Newspaper magnate, Charles Foster Kane is taken from his mother as a boy and made the ward of a rich industrialist. As a result, every well-meaning, tyrannical or self-destructive move he makes for the rest of his life appears in some way to be a reaction to that deeply wounding event.;/oFWvF7OJfT2ydAAatlnsgChV4FP.jpg;30/04/1941;119.0;It's Terrific!;Citizen Kane;False;8.0
{'id': 498, 'name': 'Heart of Gold Collection', 'poster_path': '/cwrmUIVzOuR9FdqKBfERkMHdde0.jpg', 'backdrop_path': '/293UTX2btTkblOL7WZF1Q7veIJm.jpg'};[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}, {'id': 10402, 'name': 'Music'}];16;tt0168629;Dancer in the Dark;Selma, a Czech immigrant on the verge of blindness, struggles to make ends meet for herself and her son, who has inherited the same genetic disorder and will suffer the same fate without an expensive operation. When life gets too difficult, Selma learns to cope through her love of musicals, escaping life's troubles - even if just for a moment - by dreaming up little numbers to the rhythmic beats of her surroundings.;/7xizDTz4Yj4IYm2ud4f6EfEXe5H.jpg;17/05/2000;140.0;You don't need eyes to see.;Dancer in the Dark;False;7.7
